id,博主名称,标题,正文内容,发布时间,点赞,收藏,评论,作者类型,叙述视角,内容主类型,是否涉及就医流程,是否涉及药物治疗,是否涉及共病/鉴别诊断,学习受影响,工作受影响,人际关系受影响,生活管理受影响,情绪管理受影响,是否直接引导自我判断,是否存在强共鸣式表达,是否提醒不要互联网诊断,是否建议寻求专业评估/医院就诊,是否提到早发性,是否提到跨情境性,是否提到持续性,是否提到功能损害,是否将普遍体验直接等同于ADHD,是否存在人格化/标签化/天赋化表达,是否存在商业导向,点赞数值,收藏数值,评论数值,作者类型标签,叙述视角标签,内容主类型标签,边界提醒
11,Fawkes,互联网没有提到的ADHD典型特征,"互联网往往会把ADHD归为急躁，没有耐心，多动，没礼貌。其实这是对ADHD的刻板印象，希望这条帖子可以帮助到你更全面了解ADHD。
	
#ADHD #刻板印象#三分钟热度大赛 #科普 #girlstalk #多动症 #Allin我自己",2025-06-27,1.3万,4945,796,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13000.0,4945.0,796.0,心理咨询/心理科普账号,面向读者的科普/建议,科普纠偏类,0
12,烤鸭饭全肯定,其实中国高中是ADHD友好学校。,"最近荷兰某大学开放了ADHD学习室
就是一个排好时间表的 有老师看着的 自习室（免费）
我一看这不国内高中晚自习吗
	
难怪我在国内成绩挺好一出国上了全自习型大学就彻底萎了…
	
#ADHD #荷兰 #中国高中",2025-02-13,1.2万,2082,2144,5,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12000.0,2082.0,2144.0,普通泛生活博主,第一人称亲历,患者生活经验/困境叙事类,0
13,AI金三啊,adhd进来交出你最夯的早买早享受,"我早就想做这一期了。
	
平时看到一些好物推荐，
却没发现adhd朋友的好物分享，
索性我做一个帖子让大家自由发挥，
	
然后等大家评论差不多的时候，
做一个好物大盘点。
大家也可以订阅我这个专辑，
我会持续更新到100篇，现在已经五十几篇了。
#ADHD #ADHD自救 #集中注意力 #注意力分散 #注意力 #无限回购#控制购买欲 #好物推荐 #买买买日常",02-27 山东,1.3万,1万,1568,5,2,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13000.0,10000.0,1568.0,普通泛生活博主,面向读者的科普/建议,患者生活经验/困境叙事类,0
14,菠萝柠檬茶,这样算能确诊成人adhd了吗？,"在华西做的检查，分两次检查完了，但是看不太懂报告，有懂一些的姐妹帮忙看看的吗
做持续操作检查的时候，中途进了一个医生干扰到我了，所以4位数测试我索性摆烂没做了可能会影响结果
————————————————————
我后来没有去医院做复诊，因为号实在难约，就算确诊了也只是开一些辅助性药物，整个过程太麻烦，我真的懒得去弄了，最初想检查也是因为自己有考试计划，怕不专注耽误学习，但是这项检查对于目前阶段的我来说实在是有点费时费神费钱，所以后来就没去了，现在只是每天靠大量的咖啡因（抹茶咖啡茶叶魔爪样样都来）保持短暂的专注，宝宝们不用来问我了，祝大家身体健康一切顺利～
2024.7.25更新
#成人ADHD #adhd症状 #心理 #精神状态良好 #注意力缺陷多动障碍 #华西二院 #adhd成人多动症 #多动症ADHD #ADHD成人注意力缺失症多动症 #女性ADHD #心理疗愈 #精神状态 #治疗",2024-07-25,211,110,19,4,1,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,211.0,110.0,19.0,疑似患者/自述困扰者,第一人称亲历,确诊/就医流程类,0
15,微心理学,ADHD型人格「思维跳跃的“外星人”」,"➡️ADHD，在心理学中被称为注意力缺陷多动障碍，原本是在儿童期很常见的精神失调，也就是我们平时所说的少儿多动症。但是，随着对这种病症的认识增加，最近，心理学家们发现：这种症状在成年人身上也会出现，并会形成一种特定的人格，被称为ADHD型人格。
#学点儿心理学
#心理学
#心理学效应
#知识分享家
#心理学小知识
#微表情
#人性
#女性智慧",2024-06-30,4762,1590,220,2,2,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4762.0,1590.0,220.0,心理咨询/心理科普账号,面向读者的科普/建议,身份认同/人格化/天赋化表达类,0
16,一只维尼,室友有比较严重ADHD怎么办[皱眉R],"我室友是我朋友的朋友，朋友介绍给我说可以一起合租。之前我也见过他几次一起吃过饭，印象里他除了有点咋呼没有什么不好。
	
住在一起后，我发现他会时不时地大吼大叫，一起学习的时候他也老是不认真。有次我开玩笑问他“你是不是有ADHD？”他说是。他说他家里人在他上中学还是什么时候带他去确诊了。我问他现在他有在治疗吗，他说没有。
	
我在家会经常听到他发出的各种奇怪的声音，比如他看电视的时候嘴里会哼哼哈嘿。我建议他在这边再做检查啥的，他不去。
	
这种情况下我是再次跟他讲让他去治疗还是我直接转lease走人啊？
	
#留学 #室友 #ADHD",2024-12-26,369,113,288,5,1,5,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,369.0,113.0,288.0,普通泛生活博主,第一人称亲历,患者生活经验/困境叙事类,1
17,更有甚者,ADHD｜上海精卫确诊攻略,"如果不是需要一份诊断报告，建议选择可以做脑电图的医院，相关笔记很多，我简单记录一下从挂号到确诊半天速成的攻略，目测精神卫生中心以及和睦家、莱佛士都是可以自己搞定的（如果条件不允许带父母前来的话）。
	
首先，公众号上预约挂号，选择心理咨询—成人ADHD，初诊号很难约，可以退回去选择特需（咨询），价格贵一些，李医生在特需1，廖医生在特需2。尽量约早一点的号，当天我八点到已经排到6号了。
	
第一次来这家医院进门先在前台登记建档，获取一张就诊卡，然后去旁边量血压，再去缴费窗口缴费取号。我约的李医生在305诊室，每一个诊室都是按顺序往后排的，还会跳号，很快就能排到。
	
来之前我简单梳理了一下自己的发育史，尽量做到客观。非常建议大家多花点时间准备，因为有时候聊着聊着可以带出很多细节。焦虑和抑郁的情绪会影响诊断结果，所以医生一般会劝说优先治疗这两项再看ADHD。
	
几年前在青衫做ASRS量表，我甚至还暗戳戳希望自己能共患点别的天才病，很遗憾后来被我一一排除，还有很多症状跟双相有点难区分。当然我确实还有一些别的人格障碍，强迫思维之类的，在向医生描述相关表现时他会追问一些细节，例如很少吃水果，觉得连汤带水的很麻烦，但从不嫌吃饭麻烦，用不到的东西放在地板上一个月也不去捡，不能穿高领毛衣，也戴不了任何饰物，非常容易感官过载。还有购物习惯也会被问，很多快递放几个月也不会去拆，诸如此类的恶行。我还有很严重的阅读障碍，以及很长的荨麻疹患病史。身体经常磕碰，尤其是头，明明目测没问题的距离经常撞得duangduang响。还有类似挑食的毛病，逮住一个菜吃到腻再吃下一个，上学的时候吃食堂也喜欢一个窗口吃上半月再换。如果同时摄入不同口味的食物我会下意识觉得恶心，难以接受串味儿，泔水才串味儿。
	
不知道是否奇怪，我觉得自已算健康的人，小时候特别喜欢户外活动，体魄强健，协调性也没问题，很少生病，一直到大学都没有近视，注意力不集中也没有对学业造成太大影响。直到后来严重妨碍工作了，拖到现在才确诊。
	
遗憾的是后来专注达驯服失败了，服用之后不仅恶心，休息不好还会剧烈头痛，整个三叉神经都在沸腾。当时医生的建议就是处理重大事项的时候服药，平时不用管了。而且专注达经常断货，感觉有点指望不上。
	
先这样吧，哪天再好好咂摸一下这个药。
#成人ADHD  #注意力缺陷障碍",02-18 河南,3963,3111,500,3,3,3,1,1,1,0,1,0,1,0,0,0,0,1,1,1,1,1,0,0,0,3963.0,3111.0,500.0,患者/确诊者本人,混合型,确诊/就医流程类,1
18,不上班的张铁柱,30岁ADHD，吃专注达第2天打开了新世界,"拍完没吃药的时间里，一直拖着不剪，已经一个月过去了……
剪辑的时候发现说话卡壳、大脑宕机、语无伦次、没有逻辑、车轱辘话来回说。
对脑雾的影响暂时没有很明显的感觉
#ADHD  #执行力 #专注达 #大脑前额叶 #拖延症 #注意力分散",1天前 浙江,414,199,153,3,1,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,414.0,199.0,153.0,患者/确诊者本人,第一人称亲历,药物/治疗体验类,0
19,ADHD 猫住！,adhd想要讲清楚一件事情belike：,"1️⃣ 宏大叙事： 必须从盘古开天辟地铺垫5分钟，漏掉一根草的细节都觉得这逻辑废了。
2️⃣ 讲到5分钟时候，敏锐发现对方有些许不耐烦但自己还没讲到重点时：糟糕！他在烦我！
3️⃣ 惊慌之下按下“20倍速”，把剩下的史诗级前情提要全部切掉，直接进入正文。
4️⃣ 此时对方已经毫无耐心，a人战战兢兢看颜色的乱七八糟的讲完一通
再好笑的事情也没那么好笑了，最后就是疯狂自责很久，简直想鼠。。。#我超稳定的精神状态 #精神状态岌岌可危 #adhd #adhd症状 #非正常人类 #adhd科普 #adhd确诊 #不要再搞抽象了好吗 #adhd的症状 #合理但有病",5天前 浙江,2459,252,285,4,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,2459.0,252.0,285.0,疑似患者/自述困扰者,第一人称亲历,症状共鸣/自我识别类,0
20,Sri,有没有适合成人ADHD的爱好,我比较没有耐心，做手工做十几分钟就开始焦虑，品质直线下滑。做事情需要听小说或者听别的，没办法静下心做任务，最近比较喜欢短途的溜达，十公里左右，需要听无脑小说或者歌分散注意力。,2025-03-23,2万,4910,2010,4,1,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20000.0,4910.0,2010.0,疑似患者/自述困扰者,第一人称亲历,患者生活经验/困境叙事类,0
21,夸桑🥐,adhd好像就是对“努力”没有感知,"我突然意识到，其实adhd会遗忘自己的努力，并不是单纯是“忘却”，而是没有感知。
要么一直启动困难，要么还没回过神来就已经开始了。因为突然有兴致想做的事，都是执行力满分顺其自然，所以不觉得是努力，虽然投入的精力也很大。或者就是死到临头了或者出于责任心等等原因就会push很着急开始做，正因为这样没有很痛苦而且已经不能算是主动做的，所以不是努力。真正正经要去做什么并不想做的事的时候呢，很痛苦又一直在分心，没办法高效而且做出来结果也差强人意，状态很差，所以也不算努力。
可能在别人那里定义的是努力，但如果是我自发想做的，虽然客观上说也不容易但是我自己觉得开心或者其实挺爽的，好像也不算什么努力。
adhd是不是普遍对于努力这个词的定义就比较不同呢，还是说好像我们开心痛苦的事情和别人常常反着来所以体感是错位的。
	
#adhd
	
二编补充：
每个人对努力都有自己的定义和感受，其实发这个帖子的本意或者说我表达的核心意思不是 把努力＝吃苦，开心/轻松/喜欢＝没努力，也不仅因为心流体验或者自我高要求所以感觉不到努力。（可能也是第一时间比较粗糙的感受写了就发出来的缘故。）
我更多是想说，无论付出了多还是少，过程是开心的痛苦的，结果是怎么样的，好像都感知不到努力，因为没办法清晰地体会那个过程，也没办法从中得到自我肯定和信心。
大家也会同时去讨论配得感，冒名顶替综合征等问题，我觉得很可能也是相关的。因为自信的建立往往因为付出了很多然后对自己的付出和成绩有肯定，但是感知不到努力的后果就是你对自己也没有清晰的认知，尤其是正向的。
除了前面正文说的，还有就是在我看来其实努力是一个偏长期的以目标为导向的过程，也是一个自主的行为，而我做任何事都是做了才会反应过来，因为要么启动困难一直拖，要么已经在做了，无论我想不想做。我很难建立一个“我为了一个目标做事”的认知。
也像我在plq回复说的，我认为的努力是自主的按着规划和对自己的要求日复一日言出必行去达成目标，而我从来做不到。我没办法以目标为驱动，我觉得动力也是模糊的，因为不能说以此为动力去努力，而是复盘回顾才能分析出我当时的动力或者动机是什么。
回想自己为什么会有这个思考呢，好像是刚好看了小谷的采访，她算我心里对努力定义的顶配具象化。她谈到重建自信的过程会让我感触很深，因为这个路径在我或者我们这里完全不成立。
（字数限制完整的请左滑看图片叭，再次感蟹大家对笔记的喜欢🥰🥹）",02-13 广东,1.6万,5261,938,4,1,5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,16000.0,5261.0,938.0,疑似患者/自述困扰者,第一人称亲历,患者生活经验/困境叙事类,0
22,忽悠,难道国内诊断ADHD的标准是能否上本科？,"因为从小到大一直被我的“一些习惯”“改不掉的那些东西”困扰着我，我想我知道我到底是哪方面出了问题，阻止了我的前进，就像一个自我相互拉扯一样。哪怕你告诉我，这个情况治不了啊，你一辈子是这样子的，你直接给我一刀我也慢慢接受。结果医生在听我的困惑后，你就问了我一句，你问了我一句，“你是否是本科毕业的？”我说“是”，但是我还复加了一个条件，我复读了两年，通过艺考擦边，考了三次才考了一个民办本科，你摆摆手告诉我“不可能”“你不是adhd”。
我踏马听到这话，我当场都石化了。
且不说小红书上有大把大把的人，考到学校考到博士，才发现自己“哦，原来我是adhd”，发觉有学习或生活这方面障碍的问题，互联网那么多博主像4566，他不就是加拿大（应该是吧）留学吗？
结果就是我还没来得及说我生活中任何细碎的小细节，就以医生为你可能有心理创伤的理由，把我给打发了。
两年内不想在国内做任何的证明，我不想再抛开自己，向众人证明我是个精神病......
#ADHD学习 #ADHD自救 #国内ADHD #注意力分散 #心理医生 #心理问题",2025-12-29,458,93,575,4,1,3,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,458.0,93.0,575.0,疑似患者/自述困扰者,第一人称亲历,确诊/就医流程类,0
23,从嘉陵江游到大阪,ADHD到底是啥,"有人能确切地告诉我ADHD真的是一种病吗，还是拖延症人给自己找的借口。。。
刚刚刷到一篇帖子有人说这是一种病，有人又在骂只是懒人的借口罢了。。。
#ADHD #莫名其妙又确诊了",2025-02-20,3128,1516,1164,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3128.0,1516.0,1164.0,疑似患者/自述困扰者,第一人称亲历,科普纠偏类,0
24,本有ADHD,10个冷门的ADHD现象，看你中了几个,"1. 嗅觉超敏感：闻到别人闻不到的味道
2. 肠胃问题(IBS)：一紧张就拉肚子
3. 天生夜猫子：凌晨3点大脑才开机
4. 暴食停不下来：不是饿，是多巴胺在作怪
5. 时间盲：5分钟和3小时没区别
6. 疼痛敏感：别人觉得不疼的我疼死
7. 磨牙：睡觉磨到牙医心疼
8. 笨手笨脚：行走的碰碰车
9. 体温调节障碍：别人穿短袖我穿外套
10. 左撇子概率高：是普通人的3倍
	
你中了几个？评论区报数👇
	
#ADHD #多动症 #注意力缺陷 #ADHD冷知识 #adhd #adhd自救 #adhd成人 #脑雾的成因 #注意力分散 #孩子注意力不集中",02-14 美国,105,35,15,3,2,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,105.0,35.0,15.0,患者/确诊者本人,面向读者的科普/建议,症状共鸣/自我识别类,0
